name,a,age,alower,aupper,b,dec,density,densitylower,densityupper,ecc,fe,feh,felower,feupper,firstref,firsturl,k,kid,koi_star,logg,m,mass,masslower,massupper,mstar,mstarlower,mstarupper,mupper,orbref,orburl,per,r,ra,rho,rhostar,rlower,rprs,rstar,rstarlower,rstarupper,rupper,shk,source,teff,tefflower,teffupper,tt,ua,ub,udensity,ufe,ufeh,uk,ulogg,um,umass,umstar,ur,urho,urholower,urhostar,urhoupper,urstar,uteff,vmag,vsini,flux,uflux
55 Cnc e,0.0154393,,0.00025732099999999997,0.00025732099999999997,,,4.173,0.602,0.602,0.0,0.314513,,0.03,0.03,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,,,,4.45,8.379902375213417,8.379902375213417,0.3924145264637943,0.3924145264637943,0.905,0.015,0.015,,"Endl 2012, Dragomir 2013",http://adsabs.harvard.edu/abs/2012ApJ...759...19E,0.736546,1.99,,5.872438822443268,,0.1599992327495649,,0.943,0.01,0.01,0.1599992327495649,0.165,,5196.0,24.0,24.0,,0.00025732099999999997,,0.602,0.03,,,,0.3924145264637943,0.3924145264637943,0.015,0.084,0.7928624380531459,,,,0.01,24.0,,2.46053,2439.6897016894127,106.40729724045089
CoRoT-1 b,0.025319099999999997,,0.00133258,0.00133258,,,0.38,0.05,0.05,0.0,-0.3,,0.25,0.25,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,,,,4.25,327.2843682836196,327.2843682836196,39.271327407853775,39.271327407853775,0.95,0.15,0.15,,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,1.5089556999999998,16.701381289098634,,0.38,,0.8967184584750945,,1.11,0.05,0.05,0.8967184584750945,,,5950.0,150.0,150.0,,0.00133258,,0.05,0.25,,,,39.271327407853775,39.271327407853775,0.15,0.8967184584750945,0.05,,,,0.05,150.0,,5.2,2161.260629979003,370.35999400010354
CoRoT-10 b,0.10546300000000002,,0.00197497,0.00197497,,,3.7,0.83,0.83,0.53,0.26,,0.07,0.07,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,,,,4.65,875.6991784674099,875.6991784674099,50.86178141006327,50.86178141006327,0.89,0.05,0.05,,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,13.2406,10.87271130901052,,3.7,2.371,0.7846286511657077,,0.79,0.05,0.05,0.7846286511657077,,,5075.0,75.0,75.0,,0.00197497,,0.83,0.07,,,,50.86178141006327,50.86178141006327,0.05,0.7846286511657077,0.83,,,,0.05,75.0,,2.0,33.39550204000467,4.8302650912759475
CoRoT-11 b,0.0440549,,0.000734249,0.000734249,,,0.99,0.15,0.15,0.0,-0.03,,0.08,0.08,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,,,,4.22,746.2747197951188,746.2747197951188,108.69741272471629,108.69741272471629,1.27,0.05,0.05,,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,2.9943299999999997,16.028842445242308,,0.99,0.4929,0.3362694219281604,,1.37,0.03,0.03,0.3362694219281604,,,6440.0,120.0,120.0,,0.000734249,,0.15,0.08,,,,108.69741272471629,108.69741272471629,0.05,0.3362694219281604,0.15,,,,0.03,120.0,,40.0,1492.4026590618926,138.27503848081773
CoRoT-12 b,0.0401409,,0.0009247060000000001,0.0009247060000000001,,,0.41097,0.09443,0.12900999999999999,0.07,0.16,,0.1,0.1,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,,,,4.375,292.1306728934418,292.1306728934418,22.463373440795422,22.463373440795422,1.078,0.07200000000000001,0.077,,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,2.828042,16.1409322525517,,0.41097,0.77,1.4571674950220284,,1.1159999999999999,0.092,0.096,1.4571674950220284,,,5675.0,80.0,80.0,,0.0009247060000000001,,0.11172,0.1,,,,22.463373440795422,22.463373440795422,0.0745,1.4571674950220284,0.11172,,,,0.094,80.0,,1.0,719.2957453673963,132.00723532831958
CoRoT-13 b,0.051068999999999996,,0.00085115,0.00085115,,,2.34,0.23,0.23,0.0,0.01,,0.07,0.07,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,,,,4.3,416.65439941749526,416.65439941749526,24.60723717485186,24.60723717485186,1.09,0.02,0.02,,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,4.03519,9.919947946880733,,2.34,1.04857,0.15692573023314152,,1.01,0.03,0.03,0.15692573023314152,,,5945.0,90.0,90.0,,0.00085115,,0.23,0.07,,,,24.60723717485186,24.60723717485186,0.02,0.15692573023314152,0.23,,,,0.03,90.0,,4.0,438.35435504191844,39.953049199841566
CoRoT-14 b,0.0269122,,0.0007144860000000001,0.0007144860000000001,,,7.3,1.5,1.5,0.0,0.05,,0.15,0.15,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,,,,4.35,2445.4844109671585,2445.4844109671585,143.98586235814,143.98586235814,1.13,0.09,0.09,,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,1.51214,12.217788996723163,,7.3,0.65,0.7846286511657077,,1.21,0.08,0.08,0.7846286511657077,,,6035.0,100.0,100.0,,0.0007144860000000001,,1.5,0.15,,,,143.98586235814,143.98586235814,0.09,0.7846286511657077,1.5,,,,0.08,100.0,,9.0,2405.8651712609712,378.0925430284577
CoRoT-16 b,0.0617874,,0.00150061,0.00150061,,,0.44,0.14,0.21,0.33,0.19,,0.06,0.06,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,,,,4.36,170.97961624987443,170.97961624987443,27.812703736065078,27.812703736065078,1.0979999999999999,0.078,0.08199999999999999,,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,5.35227,13.114507455198257,,0.44,0.93,1.7934369169501885,,1.19,0.13,0.14,1.5692573023314154,,,5650.0,100.0,100.0,,0.00150061,,0.175,0.06,,,,27.812703736065078,27.812703736065078,0.08,1.681347109640802,0.175,,,,0.135,100.0,,0.5,339.1389903228906,82.27243694340557
CoRoT-17 b,0.0480499,,0.00154006,0.00154006,,,2.82,0.38,0.38,0.0,0.0,,0.1,0.1,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,,,,4.4,781.8320422818117,781.8320422818117,88.16296364366778,88.16296364366778,1.04,0.1,0.1,,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,3.7681,11.433160345557456,,2.82,,0.7846286511657077,,1.5121,0.0494171,0.0494171,0.7846286511657077,,,5740.0,80.0,80.0,,0.00154006,,0.38,0.1,,,,88.16296364366778,88.16296364366778,0.1,0.7846286511657077,0.38,,,,0.0494171,80.0,,4.5,964.5249582494329,103.38572914706593
CoRoT-18 b,0.0295483,,0.00155517,0.00155517,,,2.2,0.8,0.8,0.04,-0.1,,0.1,0.1,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,,,,4.4,1108.0739720799436,1108.0739720799436,119.35634623882696,119.35634623882696,0.95,0.15,0.15,,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,1.9000693,14.683764757529671,,2.2,1.35,2.0176165315689625,,1.0,0.13,0.13,2.0176165315689625,,,5440.0,100.0,100.0,,0.00155517,,0.8,0.1,,,,119.35634623882696,119.35634623882696,0.15,2.0176165315689625,0.8,,,,0.13,100.0,,8.0,899.9542854472297,260.9663445277104
